REG_NO,SURVEY_ID,created_us,created_da,last_edite,last_edi_1,PUBLISH,DATE,NAME,NUMBER,STREET1,STREET2,TLAND_NAME,TOWN,COUNTY_COD,COUNTY,LOCAL_AUTH,RPS,RMP,VALUE_DESC,ORIGINALTY,INUSETYPE,NIAH_SITE_
50010346,SURV030,NIAH,20141008,NIAHMaster,20141208,1,1750 - 1790,Morrison Hotel,14,Ormond Quay Lower,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,hotel,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010346
50010371,SURV030,NIAH,20141008,NIAH,20141008,1,1890 - 1910,Zulu Tattoo/Accident & General Travel Insurance/Language Communications Company Ltd,25-28,Strand Street Great,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,distillery,office,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010371
50010372,SURV030,NIAH,20141008,NIAH,20141008,1,1870 - 1890,Xtreme,31,Liffey Street Lower,Strand Street Great,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Local,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010372
50010373,SURV030,NIAH,20141008,NIAH,20141008,1,1810 - 1830,The Lotts,9,Liffey Street Lower,North Lotts,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,public house,public house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010373
50010196,SURV030,NIAH,20141008,NIAH,20141008,1,1880 - 1900,,7,Mayor Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010196
50011189,SURV030,NIAH,20141008,NIAH,20141008,1,1830 - 1850,Toto Ristorante Italiano,8,Talbot Street,,,Dublin,DU,DUBLIN,Dublin City Council,1,1,Regional,house,restaurant,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50011189
50010229,SURV030,NIAH,20141008,NIAH,20141008,1,1820 - 1830,Pro-Cathedral House,83,Marlborough Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,presbytery/parochial/curate's house,presbytery/parochial/curate's house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010229
50010230,SURV030,NIAH,20141008,NIAH,20141008,1,1800 - 1820,,82,Marlborough Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,gate lodge,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010230
50010231,SURV030,NIAH,20141008,NIAH,20141008,1,1790 - 1810,,81,Marlborough Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010231
50010232,SURV030,NIAH,20141008,NIAH,20141008,1,1730 - 1760,,80,Marlborough Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,apartment/flat (converted),http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010232
