object_id,zone_orig,zone_gzt,zone_desc
284,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
285,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
286,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
287,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
288,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
289,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
290,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
291,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
292,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
293,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
294,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
295,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
296,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
297,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
298,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
299,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
300,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
301,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
302,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
303,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
304,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
305,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
306,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
307,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
308,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
309,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
310,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
311,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
312,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
313,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
314,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
315,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
316,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
317,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
318,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
319,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
320,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
321,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
322,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
323,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
324,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
325,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
326,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
327,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
328,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
329,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
330,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
331,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
332,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
333,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
334,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
335,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
336,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
337,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
338,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
339,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
340,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
341,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
342,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
343,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
344,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
345,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
346,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
347,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
348,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
349,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
350,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
351,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
352,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
353,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
354,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
355,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
356,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
357,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
358,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
359,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
360,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
361,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
362,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
363,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
364,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
365,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
366,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
367,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
368,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
369,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
370,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
371,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
372,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
373,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
374,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
375,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
376,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
377,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
378,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
379,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
380,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
381,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
382,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
383,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
384,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
385,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
