GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,GEOGDESC,TotalPop2016,Pop_Density,Dep_Ratio,Percent_NonIrish,HouseBuilt_Pre2001,HouseBuilt_Post2001,Percent_FlatApartBedsit,Percent_Rented,Percent_Vacant,Percent_Unemployed,Percent_Professional,Percent_OtherOccupation,Percent_ThirdLevelEdu,Percent_NoThirdLevelEdu,Average_PersonsPerHousehold,Percent_NoInternet,Percent_WithDisability,Percent_ChangePopulation
4c07d11e-293b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02089,268139,Rotunda B,268139001/268139013,268139001/268139013,A268139001/268139013,Small Area,154,19807.77,11.59,23.38,105,0,96.43,81.25,27.56,34.21,1.79,98.21,18.25,67.46,1.15,3.57,56.49,-27.01
4c07d11e-3c16-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096005,268096005,A268096005,Small Area,124,16368.48,6.9,70,3,44,100,83.93,21.79,6.67,39.29,60.71,79.76,14.29,1.93,5.36,8.06,0.81
4c07d11e-382c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02073,268104,Mountjoy A,268104017,268104017,A268104017,Small Area,794,117185.16,17.8,80.37,61,8,87.61,59.29,12.14,7.2,15.04,84.96,17.17,73.88,2.41,13.27,6.93,6.58
4c07d11e-35ef-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02089,268139,Rotunda B,268139003,268139003,A268139003,Small Area,246,36959.33,18.27,33.33,53,42,100,66.67,7.14,14.67,8.33,91.67,27.07,64.64,2.07,14.17,14.63,-11.51
4c07d11e-3b8b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02089,268139,Rotunda B,268139012,268139012,A268139012,Small Area,349,58322.93,13.31,71.55,11,91,100,72.86,9.76,5.83,30,70,59.51,26.83,2.5,12.14,5.16,-6.93
4c07d11e-3bdb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096010,268096010,A268096010,Small Area,149,26372.65,5.67,51.11,50,5,100,67.95,15.31,4.2,38.46,61.54,74.73,19.78,1.94,2.56,9.4,-4.49
4c07d11e-3bf5-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02075,268106,North City,268106013,268106013,A268106013,Small Area,107,19148.36,11.46,64.08,45,1,100,84.48,23.46,8.25,27.59,72.41,77.46,11.27,1.83,1.72,5.61,-16.41
4c07d11e-3c0c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02075,268106,North City,268106014,268106014,A268106014,Small Area,228,40982.89,6.05,73.52,83,6,100,87.7,23.03,7.31,29.51,70.49,57.05,32.05,1.72,4.1,8.33,-8.06
4c07d11e-3c1f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096018,268096018,A268096018,Small Area,158,29068.15,6.04,39.07,50,9,100,74.03,13.04,2.65,37.66,62.34,81.36,11.86,2.09,7.79,3.8,-4.82
4c07d11e-35cf-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02075,268106,North City,268106008,268106008,A268106008,Small Area,180,35301.67,3.45,71.76,34,0,96.15,90.38,22.06,6.9,30.77,69.23,64.75,26.23,2.19,3.85,6.67,0.56
4c07d11e-382d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02073,268104,Mountjoy A,268104006,268104006,A268104006,Small Area,195,38518.35,5.98,79.49,13,39,100,95.35,6.52,1.61,30.23,69.77,74.8,12.6,2.34,2.33,9.23,3.17
4c07d11e-3c0d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02075,268106,North City,268106012,268106012,A268106012,Small Area,117,24645.32,9.35,74.36,40,2,100,78.79,23.6,2.75,28.79,71.21,69.7,18.18,1.8,6.06,4.27,-12.03
4c07d11e-3c0a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096008,268096008,A268096008,Small Area,147,31850.08,63.33,2.05,58,0,100,88.73,6.49,21.36,5.63,94.37,4.82,83.13,2.07,11.27,24.49,10.53
4c07d11e-3c29-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02078,268109,North Dock C,268109013,268109013,A268109013,Small Area,208,47213.83,8.33,56.5,95,2,100,79.61,18.11,2.59,25.24,74.76,77.24,12.41,2.05,4.85,6.25,6.12
4c07d11e-3c1a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096011,268096011,A268096011,Small Area,149,35525.43,35.45,7.38,72,1,95,93.75,15.79,20.33,3.75,96.25,12.12,72.73,1.9,3.75,22.15,-3.87
4c07d11e-3831-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02073,268104,Mountjoy A,268104014,268104014,A268104014,Small Area,358,112687.43,16.61,67.24,14,102,97.28,83.67,12.35,3.45,19.73,80.27,40.3,42.79,2.45,12.93,5.87,7.51
4c07d11e-3c2a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02078,268109,North Dock C,268109014,268109014,A268109014,Small Area,131,41723.51,11.02,60.47,62,6,100,76.06,17.05,5.04,40.85,59.15,70.1,14.43,1.9,2.82,3.82,3.97
4c07d11e-3c1e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096016,268096016,A268096016,Small Area,161,69195.38,45.05,4.35,68,0,100,96.34,6.82,25,1.22,98.78,2.27,81.82,2,1.22,22.98,1.26
4c07d11e-3c23-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02078,268109,North Dock C,268109006,268109006,A268109006,Small Area,102,56863.79,9.68,58,17,30,100,76.47,21.54,6.38,35.29,64.71,74.29,17.14,2.02,5.88,5.88,-38.55
4c07d11e-380e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02089,268139,Rotunda B,268139011,268139011,A268139011,Small Area,251,150496.07,10.57,67.56,59,34,87.07,81.9,10.69,8.66,21.55,78.45,47.92,35.42,1.96,10.34,12.75,32.8
4c07d11e-2d6b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02078,268109,North Dock C,268109005,268109005,A268109005,Small Area,333,214707.57,35.37,7.25,92,8,38.53,88.07,1.8,23.9,3.67,96.33,2.66,89.89,3.02,4.59,15.02,6.73
4c07d11e-3c15-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02075,268106,North City,268106018,268106018,A268106018,Small Area,246,219259.03,21.18,66.26,63,9,100,67.31,22.86,5.69,25.96,74.04,42.96,36.3,2.41,8.65,12.6,14.95
4c07d11e-3b63-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02075,268106,North City,268106006,268106006,A268106006,Small Area,282,304964.37,10.59,69.74,80,6,100,79.51,11.89,8.88,26.23,73.77,56.28,28.96,2.25,5.74,6.74,4.06
4c07d11e-3843-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02078,268109,North Dock C,268109011,268109011,A268109011,Small Area,222,421592.6,5.71,55.87,23,67,100,81,30.61,2.38,49,51,83.22,14.09,2.18,6,2.7,6.73
4c07d11e-2d5b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02089,268139,Rotunda B,268139009,268139009/268139010,A268139009,Small Area,506,1704557.88,43.75,29.77,50,17,100,81.4,29.27,7.47,1.16,98.84,16.67,73.5,1.95,15.12,10.47,6.98
4c07d11e-35d0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02075,268106,North City,268106007,268106007,A268106007,Small Area,123,630916.59,4.24,72.65,30,3,94.55,81.82,34.44,4.24,32.73,67.27,44.87,44.87,2.22,9.09,5.69,-26.79
4c07d11e-3810-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02088,268138,Rotunda A,268138016,268138016,A268138016,Small Area,492,10061412.29,20.29,69.62,64,6,97.12,73.08,14.63,5.82,18.27,81.73,36.44,47.07,2.32,5.77,7.93,82.9
